epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.566,1.13869,2.34213,1.53536,0.74773,0.51437,0.54394,0.32565,1.33941,1.46369,1.61319,0.00333118,0.00333118,0.00333118
2,643.608,1.11527,1.56532,1.50007,0.8002,0.46332,0.54812,0.31961,1.34869,1.26581,1.6652,0.00644459,0.00644459,0.00644459
3,949.609,1.17329,1.43123,1.53999,0.78397,0.44752,0.505,0.30491,1.31861,1.37615,1.66286,0.00933799,0.00933799,0.00933799
4,452.019,1.18096,1.35269,1.54826,0.62263,0.55109,0.56639,0.34473,1.30977,1.17421,1.65418,0.00901,0.00901,0.00901
5,518.035,1.14452,1.266,1.52147,0.57223,0.51165,0.57292,0.3491,1.22647,1.13367,1.59311,0.00868,0.00868,0.00868
6,1022.37,1.10995,1.1866,1.4919,0.67766,0.62326,0.636,0.39376,1.20891,1.06137,1.57479,0.00835,0.00835,0.00835
7,6049.7,1.07086,1.12247,1.46319,0.71155,0.66104,0.69222,0.42865,1.18556,0.99831,1.54503,0.00802,0.00802,0.00802
8,7505.55,1.04584,1.06003,1.44149,0.66852,0.69396,0.69944,0.46115,1.13139,0.9046,1.50183,0.00769,0.00769,0.00769
9,8007.1,1.02589,1.02342,1.42572,0.84092,0.62449,0.72606,0.46921,1.12803,0.87489,1.48094,0.00736,0.00736,0.00736
10,8623.11,1.00513,0.99997,1.41271,0.76238,0.67958,0.73693,0.48063,1.11829,0.81058,1.47501,0.00703,0.00703,0.00703
11,9122.23,0.9919,0.9644,1.40197,0.72237,0.7344,0.75888,0.50336,1.10384,0.81354,1.45872,0.0067,0.0067,0.0067
12,9646.15,0.97767,0.9379,1.38884,0.73271,0.65917,0.71577,0.47841,1.083,0.7818,1.44193,0.00637,0.00637,0.00637
13,10238.6,0.96297,0.91286,1.37856,0.76022,0.69548,0.76032,0.50523,1.07709,0.76302,1.43086,0.00604,0.00604,0.00604
14,10748.8,0.94518,0.89139,1.36537,0.82057,0.70232,0.78321,0.52481,1.05917,0.74641,1.41591,0.00571,0.00571,0.00571
15,11266.5,0.93496,0.8712,1.35797,0.85193,0.68116,0.78204,0.5375,1.05202,0.7219,1.41578,0.00538,0.00538,0.00538
16,11765.5,0.91589,0.84965,1.34372,0.79406,0.76707,0.79093,0.54671,1.0417,0.7244,1.39925,0.00505,0.00505,0.00505
17,12256.9,0.9157,0.84345,1.34029,0.78692,0.74259,0.78866,0.55347,1.01761,0.69829,1.37976,0.00472,0.00472,0.00472
18,12749,0.89893,0.81796,1.33013,0.77591,0.78088,0.80385,0.56054,1.02661,0.68051,1.38238,0.00439,0.00439,0.00439
19,13245.1,0.891,0.79887,1.32347,0.84677,0.78517,0.82044,0.57093,1.01328,0.6764,1.37824,0.00406,0.00406,0.00406
20,13736.6,0.87745,0.78829,1.31498,0.79661,0.75231,0.79796,0.55545,1.00823,0.66196,1.37125,0.00373,0.00373,0.00373
21,14280.4,0.83498,0.62269,1.35581,0.80352,0.74504,0.78571,0.55813,0.99987,0.65384,1.36523,0.0034,0.0034,0.0034
22,14762.1,0.79893,0.58127,1.32435,0.78498,0.79946,0.79621,0.5644,0.99121,0.64482,1.3624,0.00307,0.00307,0.00307
23,15244.8,0.78053,0.55861,1.30483,0.78635,0.78635,0.8008,0.56871,0.98127,0.6422,1.35153,0.00274,0.00274,0.00274
24,15726.8,0.7635,0.53794,1.29364,0.88149,0.7534,0.8255,0.58341,0.97435,0.61211,1.34619,0.00241,0.00241,0.00241
25,16208.2,0.74478,0.51656,1.27547,0.84543,0.7626,0.82944,0.58974,0.97225,0.60701,1.34235,0.00208,0.00208,0.00208
26,16711.8,0.72803,0.50127,1.26097,0.84141,0.78097,0.82766,0.59008,0.97063,0.60342,1.34246,0.00175,0.00175,0.00175
27,17209.3,0.71203,0.48308,1.24947,0.82541,0.77956,0.81793,0.57406,0.96469,0.60463,1.33932,0.00142,0.00142,0.00142
28,17692.5,0.69631,0.46756,1.23286,0.81941,0.7978,0.83006,0.58677,0.96163,0.59315,1.33773,0.00109,0.00109,0.00109
29,18173.9,0.68233,0.45295,1.22158,0.8095,0.80952,0.82073,0.58389,0.96184,0.5846,1.33722,0.00076,0.00076,0.00076
30,18655.9,0.66992,0.44035,1.20804,0.80357,0.79991,0.81742,0.57799,0.96182,0.58467,1.33735,0.00043,0.00043,0.00043
