epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1470.88,1.12866,2.3538,1.55964,0.37795,0.1933,0.1457,0.06889,2.12871,3.34086,3.12033,0.000300194,0.000300194,0.000300194
2,2848.3,1.31694,1.95234,1.68493,0.26137,0.21893,0.12488,0.04989,2.41141,9.45643,3.88056,0.000601559,0.000601559,0.000601559
3,4118.28,1.4384,2.00803,1.78425,0.20671,0.21587,0.04859,0.01553,2.31607,5.75891,3.80583,0.000896392,0.000896392,0.000896392
4,5815.9,1.35861,1.90226,1.71004,0.24697,0.40582,0.21623,0.09905,2.0594,4.77011,3.10811,0.000886978,0.000886978,0.000886978
5,7022.39,1.34777,1.79057,1.68828,0.52005,0.22776,0.21488,0.0964,2.07631,2.81342,2.97966,0.000870099,0.000870099,0.000870099
6,8257.92,1.24575,1.64037,1.61326,0.54035,0.2354,0.30662,0.15936,2.01386,2.69386,2.94634,0.000848717,0.000848717,0.000848717
7,9603.83,1.23984,1.5855,1.60215,0.37755,0.33307,0.3032,0.16121,1.8736,2.49261,2.68527,0.000823066,0.000823066,0.000823066
8,11094.7,1.19899,1.50505,1.56166,0.44473,0.3429,0.35429,0.20418,1.88789,2.90225,2.65777,0.000793427,0.000793427,0.000793427
9,1463.67,1.18524,1.48612,1.55103,0.59028,0.30711,0.36117,0.20141,1.95501,2.817,2.65421,0.000760124,0.000760124,0.000760124
10,2510.44,1.13226,1.33715,1.51341,0.47974,0.39841,0.43409,0.2441,1.87286,2.14884,2.58938,0.000723522,0.000723522,0.000723522
11,1431.57,1.07192,1.23848,1.45488,0.42232,0.3719,0.41265,0.24463,1.83385,2.71576,2.58667,0.000684023,0.000684023,0.000684023
